time,PosX,PosY,PosZ,LeftX,LeftY,LeftZ,RightX,RightY,RightZ,VelLinearX,VelLinearY,VelLinearZ,VelLinearMag
51.695213,115.109327,47.487857,149.941757,101.301382,42.309254,110.006691,126.530694,40.908745,101.695587,0.0,0.0,0.0,0.0
51.82073,118.510727,35.122921,151.878998,101.818785,29.497763,111.797928,125.179935,26.279275,103.018188,27.099118047755645,-98.51204219349167,15.434092593035823,102.17134948750788
51.932647,120.115886,24.683603,154.76001,102.722506,19.440365,114.846268,124.592477,14.383359,107.672379,14.342405532670849,-93.27732158652837,25.742398384515848,94.37353081675083
52.057348,120.176987,13.218523,156.178467,102.819997,9.555366,114.219727,124.166036,1.794148,109.870041,0.48998003223708125,-91.94056182388671,11.374864676306357,91.94186744309648
52.183295,117.448543,1.368295,154.663467,102.453369,-2.37856,110.225662,126.007889,-12.776962,107.423744,-21.663429855414726,-94.08900569286813,-12.028869286286865,96.55073891676358
52.308583,112.927544,-11.170062,154.158951,101.48842,-17.829272,109.136436,129.919484,-26.439811,108.021835,-36.08485249984108,-100.07628025030519,-4.026850137283737,106.3831680702963
52.434526,108.294505,-24.652031,158.601974,101.860395,-34.215151,112.380219,132.136285,-36.395178,112.583313,-36.786792437848995,-107.04818052611148,35.27804641782417,113.19267225318227
52.560221,104.839273,-39.204291,160.694427,102.801595,-49.565176,114.707268,132.419501,-46.020213,115.791344,-27.48901706511783,-115.77437447790253,16.6470663113089,118.99307477729931
52.685581,103.071721,-54.084449,157.948517,103.314327,-62.828688,110.497177,130.571628,-58.850501,112.306366,-14.099808551372055,-118.69940970006327,-21.904195915762347,119.53390508273716
52.809874,104.900542,-69.434397,155.430008,104.890016,-74.037573,104.436752,127.871933,-76.213829,109.524368,14.713789191667932,-123.49808919247113,-20.26267770509998,124.37151453033125
52.934645,108.998298,-85.292077,155.486588,103.641513,-89.148756,105.639175,125.689207,-97.103946,113.341591,32.84221493776533,-127.09427671493911,0.45347075842963486,131.26906054250517
