time,PosX,PosY,PosZ,LeftX,LeftY,LeftZ,RightX,RightY,RightZ,VelLinearX,VelLinearY,VelLinearZ,VelLinearMag
180.388036,85.411055,56.556321,176.197922,70.703884,71.941498,103.354935,80.429099,48.201566,110.937119,0.0,0.0,0.0,0.0
180.512266,77.652262,51.953745,175.552582,62.473973,66.202134,102.230011,74.234296,42.132006,110.742485,-62.455067214032844,-37.04882878531415,-5.194719471946755,72.6171545509247
180.637923,69.059758,46.675516,176.453064,52.335277,56.705187,102.333511,67.770414,32.278245,110.726273,-68.38062344318817,-42.00505343912738,7.16619050271839,80.25169267313333
180.762961,60.592086,40.202724,178.003357,42.851831,43.378479,106.205246,65.552667,22.96547,112.548576,-67.7207888801862,-51.76659895392242,12.398574833251608,85.24016666930558
180.888577,52.07801,32.256753,177.961655,33.988885,30.412751,108.321442,66.999051,15.45988,110.83416,-67.7785950834246,-63.25604222391652,-0.3319800025473184,92.7106511104131
181.013636,45.220414,22.956565,177.182495,24.087284,19.673547,110.470116,66.489592,9.065512,107.359222,-54.83488593384224,-74.36640305776083,-6.230339279860397,92.39711369478393
181.138957,39.785452,12.510827,175.965149,17.34296,10.030217,108.117249,60.528647,-0.113569,103.811218,-43.368326138471616,-83.35185643267171,-9.713822902784514,93.95926608283804
181.250717,35.967855,2.247961,175.909943,13.493285,2.018167,105.312134,51.096891,-12.330916,102.82135,-34.158885110950855,-91.82950966356162,-0.4939692197565892,97.97697830140149
181.376459,31.761617,-9.227432,178.118546,10.22933,-6.037137,104.412064,38.498123,-28.23803,107.033607,-33.451336864372415,-91.26141623323771,17.564560767285137,97.19896105879931
181.501751,26.137698,-20.304502,178.914886,6.140336,-13.020097,104.568359,25.977989,-41.83778,112.042641,-44.886497142674095,-88.41003416020054,6.355872681416016,99.15206385117314
181.626655,19.585563,-30.922627,178.538208,1.059929,-21.69706,102.301025,15.689784,-52.87244,114.268028,-52.45736725805982,-85.01028790111718,-3.0157400883881924,99.89256443138196
181.752009,11.813092,-41.742835,177.352692,-5.067567,-32.341124,99.336121,7.726342,-61.836778,110.640907,-62.00417218438014,-86.31721365094928,-9.45734479952875,106.27877841193832
181.87756,3.451039,-52.658805,177.098343,-14.050188,-46.638831,99.013374,2.721573,-68.711944,106.439674,-66.6028386870666,-86.94450860606342,-2.0258620003025665,109.5229916406836
182.003086,-3.971659,-63.595848,178.852661,-23.298636,-65.025904,102.129707,0.519599,-77.000449,105.821991,-59.13275337379937,-87.12970221308188,13.975734110860722,105.30084296579447
182.128586,-9.674964,-74.089373,179.64183,-28.893823,-85.189051,106.453445,-1.103071,-87.004456,106.490479,-45.44466135457566,-83.61374501990925,6.288199203186315,95.1655168739521
182.253958,-14.374562,-84.321073,179.632385,-32.003852,-102.068163,110.831451,-4.650179,-98.338589,106.451012,-37.4852279615867,-81.61072647800233,-0.07533580065724069,89.80786709191703
182.379582,-18.142208,-95.430965,178.088348,-33.962593,-115.870036,110.268906,-9.672776,-111.735741,105.632935,-29.991450678217287,-88.43765522512486,-12.290939629371406,93.3847202464193
182.505317,-20.947685,-107.34347,177.671844,-36.975771,-125.15326,106.662628,-15.088334,-127.617202,105.706192,-22.312617807294586,-94.74295144550666,-3.3125541814135344,97.33488460988707
182.631019,-24.062131,-119.472674,179.521149,-41.419695,-129.78996,104.674408,-21.117366,-142.961534,109.577538,-24.77642360503055,-96.49173441948614,14.711818427707973,99.62191514890968
182.756108,-28.600562,-130.888184,180.227921,-46.809926,-132.937906,103.345398,-27.808424,-156.172559,112.118111,-36.2816154897705,-91.259103518293,5.650153090999095,98.20682052439166
182.881956,-33.971405,-141.024489,179.685089,-53.265634,-137.829113,100.486458,-34.78085,-167.32413,112.938141,-42.677221727801765,-80.5440293051995,-4.313393935541642,91.15199345664794
183.007302,-40.037385,-150.630062,178.128906,-60.803144,-146.925241,97.812157,-41.835364,-178.036177,112.180519,-48.39388572431222,-76.63246533594567,-12.415099005950816,90.63389497843897
183.132807,-46.542058,-159.20162,177.938324,-68.581408,-160.798752,97.469292,-49.187397,-188.333552,113.3507,-51.82799888450493,-68.29654595434214,-1.5185211744552027,85.73540492507055
183.25808,-53.311089,-167.268402,179.227264,-74.033736,-176.821116,100.680519,-56.445262,-198.591644,117.926277,-54.03423722590176,-64.39362033319611,10.28904871760132,84.06091322488018
183.383168,-58.933312,-175.781225,179.703064,-77.06219,-191.334817,104.580605,-61.4954,-209.184842,121.842171,-44.94614191608919,-68.05467350984622,3.8037221795855807,81.55730659893689
183.50753,-62.453947,-183.786048,179.451523,-78.070159,-202.396613,107.381905,-65.41705,-221.487023,123.706543,-28.309572055774755,-64.3671137485774,-2.0226516138371995,70.3175454797976
183.63334,-64.425797,-191.956217,178.132828,-78.002642,-210.107917,106.366516,-68.785337,-234.812325,124.618004,-15.673237421508489,-64.94053731817765,-10.481638979413447,66.80511775638598
183.758873,-65.567694,-199.981746,177.890152,-78.035427,-215.184438,104.350258,-71.543583,-247.008633,126.817619,-9.096388997316163,-63.93162754017357,-1.933164984506129,64.57551620177709
183.884369,-66.957423,-206.357288,178.264236,-78.210584,-218.99393,103.778717,-74.532132,-257.976911,128.995071,-11.073890801300614,-50.802750685281694,2.9808440109646175,51.99567803837181
184.008263,-67.885926,-210.260944,178.800461,-79.107939,-221.930616,103.987503,-76.841591,-266.541841,130.725723,-7.494333866046292,-31.508031058806413,4.328094984421935,32.38705082742913
184.14586,-67.857484,-213.453982,179.122345,-81.425021,-225.79776,104.07457,-78.020193,-272.694006,131.584503,0.20670508804696613,-23.205723962005077,2.3393242585229626,23.20664455698413
184.250766,-68.015223,-214.942244,179.245499,-82.01215,-227.282922,104.185211,-78.398628,-275.171747,130.977814,-1.5036222904315,-14.186624215964727,1.1739461994547487,14.266085189612435
184.380237,-67.95637,-216.709834,179.402878,-81.925967,-227.778742,104.350571,-78.006412,-278.04596,130.38443,0.45456511496784086,-13.65240092375959,1.2155540622996464,13.659966340618027
184.506001,-66.817464,-218.289455,179.280411,-83.43439,-227.326053,104.108643,-78.732737,-277.757982,130.332733,9.05589834928892,-12.560200057249736,-0.9737842307814372,15.48444123598879
184.631544,-65.022271,-219.381894,178.820648,-84.98187,-226.447702,104.220131,-78.880457,-277.969704,130.363113,14.299427287862274,-8.701711764097105,-3.6621954230821756,16.73897871395642
184.756347,-62.824546,-219.787053,178.184204,-84.874066,-226.380356,103.419159,-76.108895,-276.702234,130.150131,17.609552654982295,-3.2463883079729774,-5.099588952188161,17.906294473026453
184.881653,-61.642491,-219.756771,177.862549,-83.435835,-227.96036,103.982353,-67.850343,-273.25771,127.364876,9.433347166137674,0.2416644055352573,-2.5669560914880853,9.436442149548759
185.006531,-60.706413,-219.301757,177.528961,-80.005401,-231.329995,105.085823,-55.507689,-267.138446,123.297813,7.49594003747687,3.6436682201828505,-2.67131119973097,8.334592680162553
185.133217,-58.583222,-218.467385,176.861069,-73.561261,-235.288482,106.012558,-41.953377,-259.457492,119.6455,16.75947618521296,6.586142115150522,-5.272026901157104,18.007146080478154
185.258643,-55.880357,-217.243704,176.703781,-66.068664,-237.530861,105.829788,-28.429606,-251.060281,118.132637,21.549479374291664,9.756198874236246,-1.2540302648572743,23.65509411895608
