time,PosX,PosY,PosZ,LeftX,LeftY,LeftZ,RightX,RightY,RightZ,VelLinearX,VelLinearY,VelLinearZ,VelLinearMag
99.774993,88.836801,55.797591,167.084473,75.67714,55.2959,112.34301,91.502131,46.158794,112.241699,0.0,0.0,0.0,0.0
99.900282,86.153965,49.312136,167.628906,74.149229,49.97631,111.729881,89.216804,39.879229,112.534241,-21.41318072615948,-51.76396172049831,4.34541739498246,56.01814029234085
100.025842,82.535028,43.165567,167.249344,70.922877,45.47278,111.517296,85.84066,34.402971,111.74234,-28.822371774452087,-48.95324147818049,-3.0229531697994103,56.80800089710764
100.13739,78.50149,37.703565,166.729858,66.675774,40.763218,110.683571,81.895245,29.85193,111.579239,-36.1596622081976,-48.96548571018799,-4.657062430523226,60.8698608659949
100.26257,72.985411,31.627107,166.248657,60.575264,33.575519,109.030281,76.523687,23.279821,110.725281,-44.06517814347333,-48.54176386004142,-3.84407253554879,65.55945975570621
100.388089,66.512423,25.692645,166.378998,53.332565,25.343295,108.768463,69.788968,15.270091,110.40847,-51.5697862475016,-47.27939196456425,1.0384164947138699,69.96273120849348
100.513669,59.200588,19.598845,168.289825,45.615812,17.179172,109.999344,62.493679,6.8584,112.028969,-58.22451823538806,-48.525242873069196,15.21601369644865,75.79441747011049
100.638813,52.486858,12.408947,169.35434,38.62056,9.304929,110.899445,56.735137,-0.334963,113.057587,-53.64803746084261,-57.45299814613295,8.50632071853185,78.60635419213594
100.764088,46.340358,4.895543,169.397217,32.862506,1.912492,112.647316,52.893868,-5.698504,112.175926,-49.064059070045076,-59.97528636998506,0.3422630213530519,77.48752717431746
100.889351,40.385276,-3.099047,168.552017,27.652254,-5.396438,112.140739,47.741127,-11.465968,110.026527,-47.54063051339836,-63.822437591305906,-6.747403463113443,79.58275623341781
101.015256,34.94871,-11.927134,167.379181,22.770653,-13.408905,109.738014,40.426813,-19.892971,109.692093,-43.179905484297535,-70.11704856837126,-9.31524562169987,82.34624908016274
101.140035,29.962899,-21.307704,167.5914,18.076977,-21.969015,107.943687,32.968513,-31.406646,110.211685,-39.957132209745616,-75.17747377362953,1.7007589418091043,85.13650790002986
101.265577,25.537769,-30.517897,168.986938,13.518425,-30.094787,108.672264,26.384705,-42.820602,112.626053,-35.24820378837478,-73.3634401236264,11.116104570582456,81.39183139037796
101.391193,20.69605,-38.752355,170.102188,8.5293,-37.937785,109.453415,20.502339,-52.945593,114.917946,-38.54380811361367,-65.55262068525887,8.878247993885592,76.04453446898403
101.516483,15.592442,-46.636736,170.667358,3.612383,-45.430317,109.839699,14.754598,-61.67622,116.576149,-40.7343602841432,-62.929052597976415,4.51089472423999,74.96234900693324
101.641701,10.224012,-54.570875,170.313431,-1.604142,-53.372436,108.353149,8.889982,-69.829918,115.983284,-42.8726700634081,-63.362607612322186,-2.8264866073566735,76.50415597729942
101.767074,4.141469,-62.368216,169.427414,-9.862106,-63.27833,107.496117,3.476055,-77.86433,114.473701,-48.515573528592164,-62.19314365932245,-7.067047928980216,78.87805774128412
101.892147,-2.968917,-70.144608,170.011826,-17.433909,-74.385921,108.745049,-1.622369,-86.055186,113.038445,-56.84988766560309,-62.17482590167327,4.672567220743186,84.24736615167903
102.017309,-10.083051,-78.240204,171.018692,-23.06617,-84.190009,111.511086,-6.179259,-92.997047,113.519058,-56.83940812706591,-64.68094149981464,8.044502324986409,86.1065764592787
102.141708,-15.237166,-86.604836,171.518784,-26.879935,-92.870134,112.834846,-9.84076,-99.804971,114.839149,-41.43212566017518,-67.2403475912203,4.020064469971915,78.98028476087353
102.26693,-19.171949,-95.470461,171.219666,-29.816499,-101.418084,112.305618,-13.321822,-108.228627,113.863457,-31.422457715096005,-70.7992605133238,-2.3887016658414844,77.45906104575815
102.392444,-22.028535,-105.326564,170.053238,-32.475718,-110.711129,110.636047,-16.788998,-118.363526,111.881447,-22.75910257023203,-78.52592539477955,-9.293210319167889,81.75755444549957
102.517721,-23.825046,-115.69411,170.012451,-35.116144,-120.545104,109.371094,-19.541738,-129.763427,111.840584,-14.340309873321058,-82.75697853556711,-0.32557452684846827,83.99024933645086
102.642839,-25.243867,-125.847607,171.079605,-37.239097,-130.016871,110.580757,-21.697894,-141.232439,114.126564,-11.339863169168268,-81.15136910756215,8.529180453651621,81.93983893520448
102.768284,-27.267338,-135.134335,171.237274,-39.436944,-138.4485,111.607491,-26.045118,-153.237979,115.818092,-16.130343975447495,-74.03027621666914,1.2568775160431105,75.76720790343659
102.893511,-30.229365,-143.732295,171.372818,-42.409478,-146.427644,111.226822,-31.444185,-164.960064,118.559387,-23.65326167679316,-68.65899526459427,1.0823863863222098,72.61910505297094
103.018982,-34.142337,-152.318104,170.273895,-46.85056,-155.462544,109.737465,-37.776462,-177.552169,120.236374,-31.186266149152374,-68.42863291119599,-8.758382415060609,75.20013961703118
103.143721,-39.04725,-160.578172,168.999954,-52.296094,-165.416687,108.681175,-43.732629,-189.157162,121.939728,-39.321407098019016,-66.2188088729238,-10.212852435885761,77.01365920872058
103.269276,-44.223385,-168.497807,169.80423,-58.199651,-176.664479,111.042282,-48.520143,-199.651081,123.426674,-41.22603639838931,-63.0770180399,6.405766397196059,75.35447088213937
103.394545,-48.839423,-176.830488,170.933151,-61.911369,-187.062325,114.053986,-52.999344,-208.483109,126.431038,-36.84900494136946,-66.5183006170781,9.011974231454877,76.0429712869838
103.519649,-52.576367,-184.806346,171.112732,-64.12619,-195.897573,115.243553,-56.673913,-217.948061,129.155807,-29.87069957794938,-63.753820821072985,1.435453702519296,70.40460469714736
103.644881,-55.608183,-192.433731,170.64534,-66.395423,-203.546716,114.777138,-60.445234,-229.378892,131.455673,-24.209594991696004,-60.906038392744605,-3.73220902005878,65.54120842920454
103.770307,-57.590835,-199.191349,169.759079,-68.549123,-210.583675,113.754929,-64.54237,-240.746906,132.970276,-15.807344569705888,-53.87733005915653,-7.066007047980154,56.14836450555529
103.895861,-59.174911,-205.461587,170.314484,-70.110091,-216.431821,114.860794,-68.610699,-250.665031,134.115082,-12.616690826258658,-49.94056740526234,4.423634452108303,51.509622015357
104.020871,-61.024317,-210.313096,170.149689,-71.546351,-220.473335,114.831993,-71.822675,-260.172691,133.120316,-14.794064474841653,-38.80896728261635,-1.3182545396367797,41.533122748343374
104.146686,-62.819138,-213.202163,170.341522,-73.20876,-223.085513,114.985916,-73.151845,-266.895776,131.448776,-14.265556571155726,-22.962818423875888,1.5247228072964127,27.033259778516136
104.271617,-64.902483,-215.406005,170.644394,-75.593858,-225.729042,115.457954,-73.655123,-270.97026,130.506546,-16.6759651327528,-17.640473541394172,2.424314221450232,24.27496899840276
104.396936,-66.725655,-217.457507,171.064728,-77.550033,-227.543732,115.936684,-73.866684,-273.235615,129.700592,-14.548248868887711,-16.370239149691237,3.3541123053968596,21.900599876925206
104.521049,-67.893266,-219.126532,170.939819,-78.550434,-228.548742,115.232384,-73.548821,-274.08796,128.761719,-9.407644646410247,-13.44762434233233,-1.0064135102688192,16.411653732808904
104.646194,-68.402631,-220.050189,170.910172,-79.136353,-229.244389,115.088699,-73.030624,-272.882193,128.110016,-4.070198569659567,-7.380694394502948,-0.23690119461435827,8.428592180281711
104.772295,-67.943459,-220.669644,170.743652,-79.257043,-230.165463,115.231789,-70.286094,-265.945216,126.73175,3.6413033996556328,-4.91237182893069,-1.320528782483755,6.114776155675326
104.899328,-66.832834,-221.386278,170.244186,-78.466359,-230.869161,114.615417,-62.853884,-256.727219,122.871956,8.742806987160995,-5.641321546369954,-3.9317815055929928,10.404863420741716
105.024564,-64.831789,-221.543149,169.601212,-76.513988,-231.451094,113.174225,-51.710098,-247.954153,120.092537,15.978193171292508,-1.252603085374765,-5.134098821425184,16.02721658643911
105.149625,-62.670893,-220.859539,168.886642,-73.383173,-231.582302,111.102936,-42.408706,-238.636848,117.999481,17.278735976842988,5.466212488305505,-5.713771679420409,18.122753541467016
105.274891,-60.552453,-219.145863,168.054367,-68.848659,-230.920283,109.148338,-36.830239,-229.539164,117.714951,16.911532259352594,13.680296329411581,-6.644061437261555,21.752021308826347
105.400203,-58.637998,-217.080496,167.275482,-63.396543,-229.591562,108.701576,-33.80363,-222.525967,116.234779,15.277507341674166,16.481797433604502,-6.2155659473949205,22.47335927753748
