time	PosX	PosY	PosZ	LeftX	LeftY	LeftZ	RightX	RightY	RightZ	AccLinearX	AccLinearY	AccLinearZ	VelLinearX	VelLinearY	VelLinearZ
81.78072	-19.809271	-252.375247	157.364349	-66.80736	-270.615928	133.168823	-15.843792	-264.853826	109.37693	0.0	0.0	0.0	-4.995678	-4.610185999999999	-0.8742069999999842
81.906264	-22.32314	-256.361729	157.903168	-68.841398	-271.332117	133.056381	-17.925086	-264.976257	109.633377	0.0	0.0	0.0	-2.5138689999999997	-3.9864820000000236	0.5388189999999895
82.031692	-20.223177	-258.762278	156.967834	-70.42593	-269.352032	131.270676	-19.463566	-265.372838	109.67791	0.0	0.0	0.0	2.099962999999999	-2.4005489999999554	-0.9353339999999832
82.15746	-20.818146	-256.016751	156.065613	-70.306736	-269.657958	130.706894	-20.184085	-264.378016	107.728867	0.0	0.0	0.0	-0.594968999999999	2.7455269999999814	-0.9022209999999973
82.282591	-23.358842	-253.313177	156.338837	-65.78429	-270.746965	128.796631	-18.283725	-260.280615	106.001022	0.0	0.0	0.0	-2.5406960000000005	2.7035740000000033	0.273223999999999
82.407499	-24.729245	-251.248843	157.651871	-53.674228	-269.479176	126.511108	-15.654519	-254.26583	105.309769	0.0	0.0	0.0	-1.3704029999999996	2.0643340000000023	1.3130339999999876
82.533018	-21.98339	-247.096937	159.177414	-36.906781	-263.591967	119.92395	-10.900622	-248.428664	104.529083	0.0	0.0	0.0	2.745854999999999	4.151905999999997	1.525542999999999
82.658553	-17.302738	-240.41505	160.295944	-26.207284	-254.745281	106.607971	-4.168976	-241.362632	103.393486	0.0	0.0	0.0	4.6806519999999985	6.681886999999989	1.1185299999999927
82.783901	-11.289495	-234.345354	159.308319	-15.455441	-251.154486	99.619064	2.836867	-232.152307	102.697136	0.0	0.0	0.0	6.013243000000001	6.069696000000022	-0.98762499999998
82.908908	-4.52916	-229.703946	159.628967	0.043211	-248.526313	100.489136	8.3756	-223.652864	102.0308	0.0	0.0	0.0	6.760335	4.641407999999984	0.3206479999999772
83.034566	2.832503	-227.661822	161.105774	12.972559	-245.988041	101.582397	14.608665	-219.267236	101.275925	0.0	0.0	0.0	7.361663	2.042124000000001	1.476807000000008
83.160439	12.093687	-227.72843	161.023682	23.988635	-245.118566	102.208153	22.104699	-219.397453	100.426033	0.0	0.0	0.0	9.261184	-0.06660800000000222	-0.08209199999998873
83.286034	22.554423	-229.69768	159.37561	36.592511	-244.639713	101.614403	30.579349	-220.668562	99.670197	0.0	0.0	0.0	10.460736	-1.9692499999999882	-1.6480720000000133
83.397737	31.211595	-232.769745	157.84494	49.382218	-242.337159	104.002762	38.173494	-220.347619	100.997925	0.0	0.0	0.0	8.657172	-3.072065000000009	-1.5306699999999864
83.522876	40.308961	-234.602033	157.327774	63.4733	-236.803305	110.491714	47.035344	-218.501256	106.412575	0.0	0.0	0.0	9.097365999999997	-1.8322880000000055	-0.5171660000000031
83.660848	49.969537	-233.929466	157.898575	77.527897	-228.059919	116.469193	57.701867	-213.953254	112.5868	0.0	0.0	0.0	9.660576000000006	0.672567000000015	0.5708009999999888
83.773368	58.946671	-231.792256	156.206635	84.117547	-223.053346	116.35511	63.340817	-210.035926	112.983658	0.0	0.0	0.0	8.977134	2.137209999999982	-1.6919399999999882
83.904033	66.791247	-227.14252	155.579086	91.132984	-217.382993	114.398529	69.617138	-204.568054	111.492516	0.0	0.0	0.0	7.844575999999996	4.6497360000000185	-0.6275490000000161
84.031286	73.242855	-222.675292	156.695801	98.900845	-214.18033	114.311012	74.81594	-200.813329	110.361504	0.0	0.0	0.0	6.451608000000007	4.467227999999977	1.1167149999999992
84.157084	80.931769	-218.749075	158.472534	107.17623	-211.196949	114.294281	80.340223	-197.808577	109.681496	0.0	0.0	0.0	7.688913999999997	3.9262170000000083	1.7767330000000072
84.282447	89.843695	-215.741249	159.372955	116.618829	-207.451601	112.373642	85.86726	-194.7373	107.777512	0.0	0.0	0.0	8.911925999999994	3.0078259999999943	0.9004209999999944
84.409666	98.982918	-213.979537	159.393951	128.222122	-201.991572	112.687134	89.613013	-192.625207	105.602692	0.0	0.0	0.0	9.139223000000001	1.761712000000017	0.020995999999996684
84.534973	107.706693	-210.550526	160.532791	139.969644	-194.952276	118.527031	92.013325	-191.546998	104.134201	0.0	0.0	0.0	8.723775000000003	3.4290110000000027	1.138840000000016
84.660492	115.666467	-205.378185	161.533371	152.085741	-185.853459	123.680664	95.405758	-190.658733	101.847115	0.0	0.0	0.0	7.959773999999996	5.172340999999989	1.0005799999999851
84.785615	122.40061	-198.792943	160.39035	164.269004	-177.036237	125.118378	100.007762	-186.380381	99.342369	0.0	0.0	0.0	6.734143000000003	6.585241999999994	-1.143020999999976
84.910839	127.220135	-192.249964	158.196426	172.50727	-170.096748	127.624168	105.33503	-178.825952	97.631447	0.0	0.0	0.0	4.819524999999999	6.5429790000000025	-2.1939240000000098
85.036716	132.032611	-185.100255	158.64209	179.349532	-164.14628	131.948532	111.111312	-171.788796	97.978439	0.0	0.0	0.0	4.812476000000004	7.149709000000001	0.4456639999999936
85.148034	136.479176	-179.328594	159.703247	186.056533	-159.914621	134.218628	116.052956	-167.06776	101.057556	0.0	0.0	0.0	4.4465649999999926	5.771660999999995	1.0611570000000086
85.273522	140.387127	-174.626935	159.39772	190.834414	-155.452954	133.572922	118.821484	-162.674434	101.697968	0.0	0.0	0.0	3.907950999999997	4.7016590000000065	-0.3055270000000121
85.399537	141.906122	-169.84353	160.572647	186.03258	-151.250445	128.927353	119.658407	-161.75686	101.502083	0.0	0.0	0.0	1.518995000000018	4.783405000000016	1.1749269999999967
85.524832	141.740747	-166.631841	162.236328	172.661386	-149.641985	117.150558	119.507156	-162.184986	102.652336	0.0	0.0	0.0	-0.1653750000000116	3.2116889999999785	1.6636809999999969
85.651046	141.761978	-164.094084	162.423462	156.936525	-149.868172	103.883789	116.692757	-165.254619	104.158279	0.0	0.0	0.0	0.021231000000000222	2.537756999999999	0.18713400000001457
85.776216	136.176535	-163.69476	162.071808	140.580815	-155.04267	99.832741	113.848759	-174.288734	104.488037	0.0	0.0	0.0	-5.585442999999998	0.3993240000000071	-0.35165399999999636
85.90148	128.228622	-172.1209	162.129562	129.418975	-162.695182	101.292969	111.713725	-186.005876	106.080269	0.0	0.0	0.0	-7.947913	-8.426140000000004	0.05775399999998854
86.027092	123.490691	-184.374091	163.065033	122.311726	-171.1174	102.432106	109.441202	-199.429137	106.816696	0.0	0.0	0.0	-4.737931000000003	-12.253190999999987	0.9354710000000068
86.152804	120.272771	-197.009406	162.246078	114.880858	-182.549004	102.756073	109.311652	-213.558764	106.070015	0.0	0.0	0.0	-3.2179199999999923	-12.63531500000002	-0.8189549999999883
86.277741	116.610427	-207.052729	161.390274	107.978818	-196.421847	102.203773	108.090676	-223.658074	105.288193	0.0	0.0	0.0	-3.6623440000000045	-10.043322999999987	-0.8558040000000062
86.403623	110.382933	-213.679736	162.059219	102.666514	-205.879996	105.073761	102.297548	-230.333546	107.14476	0.0	0.0	0.0	-6.227494000000007	-6.627006999999992	0.6689450000000079
86.52931	103.203538	-219.050117	160.47995	96.151659	-210.74415	105.71196	93.494965	-236.54718	109.104988	0.0	0.0	0.0	-7.1793949999999995	-5.370381000000009	-1.5792690000000107
86.654058	96.737217	-222.507362	158.892563	88.226979	-213.711107	104.58107	83.070544	-241.877367	110.528862	0.0	0.0	0.0	-6.4663209999999935	-3.4572450000000003	-1.5873870000000068
86.778713	90.051158	-224.129764	158.335068	79.613009	-217.370366	103.666916	72.594314	-246.439669	113.212822	0.0	0.0	0.0	-6.686059	-1.622401999999994	-0.5574949999999887
86.903996	81.910996	-226.370622	160.204239	73.048294	-219.930952	106.717728	60.098867	-250.859201	116.590286	0.0	0.0	0.0	-8.140162000000004	-2.240858000000003	1.8691709999999944
87.028832	73.809438	-230.18741	160.054749	67.711992	-220.826078	106.686279	44.237588	-257.556388	120.1185	0.0	0.0	0.0	-8.101557999999997	-3.8167880000000025	-0.14949000000001433
87.154445	65.848076	-235.030896	158.459549	63.919529	-220.580203	104.041122	28.40444	-263.633221	123.419342	0.0	0.0	0.0	-7.961361999999994	-4.843486000000013	-1.595199999999977
87.279931	58.712746	-240.732046	158.867569	61.038777	-222.083094	102.371307	16.812608	-267.934901	125.023628	0.0	0.0	0.0	-7.135330000000003	-5.701149999999984	0.4080199999999934
87.405289	53.47491	-244.141237	159.398682	58.228958	-224.478428	103.099442	10.597761	-270.436046	125.994171	0.0	0.0	0.0	-5.2378360000000015	-3.4091909999999928	0.5311130000000048
87.530558	50.675389	-245.352904	159.179184	56.581466	-224.29646	103.631996	7.438359	-271.871852	126.291428	0.0	0.0	0.0	-2.7995209999999986	-1.2116670000000056	-0.21949800000001574
87.655876	49.769173	-245.574752	159.25386	55.97326	-223.241112	103.886482	6.697194	-271.180153	126.201103	0.0	0.0	0.0	-0.9062160000000006	-0.22184799999999427	0.07467600000001084
87.78094	48.858352	-243.00756	159.044678	55.719177	-221.927425	104.507828	9.093738	-262.651428	125.018204	0.0	0.0	0.0	-0.9108210000000057	2.5671919999999773	-0.20918199999999842
87.906068	48.835073	-238.323626	157.126541	56.598252	-219.14126	107.109787	18.212166	-245.256023	127.410652	0.0	0.0	0.0	-0.023278999999995165	4.683934000000022	-1.9181370000000015
88.030665	50.806509	-234.194088	155.749161	61.566666	-215.574592	110.240135	25.371511	-226.899277	125.646446	0.0	0.0	0.0	1.971435999999997	4.129537999999997	-1.3773800000000165
88.155453	57.069516	-228.534697	156.215424	70.675983	-213.813591	111.763214	38.508623	-214.289022	120.62088	0.0	0.0	0.0	6.263007000000002	5.659390999999999	0.4662630000000263
88.280034	67.199269	-224.369535	156.791565	82.682835	-212.37798	110.961823	44.438604	-208.683131	118.01767	0.0	0.0	0.0	10.129753000000001	4.165161999999981	0.5761409999999785
88.40566	76.026621	-220.21077	156.555862	95.52707	-210.113998	109.54026	58.426306	-202.949614	113.666306	0.0	0.0	0.0	8.827352000000005	4.158765000000017	-0.23570300000000088
88.531503	84.646698	-214.90062	156.106918	107.167459	-206.519291	108.241188	70.607075	-197.869766	111.30661	0.0	0.0	0.0	8.620076999999995	5.310149999999993	-0.44894399999998313
88.657268	92.134137	-209.902126	157.00473	114.458255	-203.56529	107.497253	79.750689	-193.353525	107.213211	0.0	0.0	0.0	7.487438999999995	4.998493999999994	0.8978119999999876
