10.087359,X=-63.985 Y=-13.390 Z=174.516,X=-65.973 Y=-0.642 Z=120.184,X=-72.780 Y=-24.723 Z=118.535,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
10.169164,X=-63.808 Y=-13.360 Z=174.539,X=-65.703 Y=-0.918 Z=120.111,X=-72.696 Y=-24.592 Z=118.539,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
10.279902,X=-63.483 Y=-13.081 Z=174.518,X=-65.270 Y=-0.883 Z=120.087,X=-72.494 Y=-24.087 Z=118.492,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
10.392352,X=-63.147 Y=-12.618 Z=174.446,X=-64.712 Y=-0.430 Z=120.135,X=-72.389 Y=-23.580 Z=118.430,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
10.478546,X=-62.808 Y=-12.035 Z=174.458,X=-63.988 Y=0.430 Z=120.247,X=-72.356 Y=-22.748 Z=118.277,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
10.58714,X=-62.129 Y=-10.756 Z=174.283,X=-62.580 Y=1.949 Z=120.593,X=-71.860 Y=-20.531 Z=117.909,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
10.676296,X=-61.357 Y=-9.684 Z=174.099,X=-60.883 Y=3.102 Z=120.658,X=-71.494 Y=-18.632 Z=117.862,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
10.78208,X=-60.139 Y=-8.128 Z=174.108,X=-57.768 Y=4.588 Z=120.501,X=-71.018 Y=-15.875 Z=117.754,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
10.89104,X=-58.911 Y=-6.554 Z=174.276,X=-54.284 Y=5.969 Z=120.115,X=-70.229 Y=-13.037 Z=117.797,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
10.977977,X=-58.046 Y=-5.524 Z=174.268,X=-51.781 Y=6.726 Z=119.985,X=-69.937 Y=-11.262 Z=117.922,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
11.087522,X=-57.303 Y=-4.345 Z=174.491,X=-48.989 Y=7.227 Z=119.948,X=-70.193 Y=-9.272 Z=118.285,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
11.174298,X=-57.150 Y=-3.680 Z=174.616,X=-47.608 Y=7.205 Z=119.616,X=-70.242 Y=-7.719 Z=118.303,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
11.281775,X=-57.276 Y=-2.968 Z=174.645,X=-46.721 Y=6.600 Z=119.866,X=-70.087 Y=-6.005 Z=118.258,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
11.39369,X=-57.841 Y=-2.718 Z=174.486,X=-46.580 Y=5.780 Z=119.911,X=-70.345 Y=-4.924 Z=118.031,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
11.48124,X=-58.556 Y=-2.792 Z=174.774,X=-46.677 Y=5.223 Z=120.034,X=-71.185 Y=-4.206 Z=117.974,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
11.589148,X=-59.834 Y=-2.919 Z=175.305,X=-47.509 Y=4.248 Z=120.354,X=-72.195 Y=-3.798 Z=118.347,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
11.677444,X=-60.895 Y=-3.310 Z=175.375,X=-48.979 Y=3.262 Z=120.093,X=-72.846 Y=-3.864 Z=118.263,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
11.783824,X=-62.141 Y=-4.016 Z=175.496,X=-51.010 Y=2.180 Z=120.345,X=-73.740 Y=-4.554 Z=118.074,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
11.868544,X=-62.968 Y=-4.557 Z=175.674,X=-51.223 Y=2.440 Z=120.451,X=-74.756 Y=-5.060 Z=117.999,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
11.979261,X=-64.171 Y=-5.283 Z=175.875,X=-52.497 Y=3.002 Z=120.434,X=-75.626 Y=-6.128 Z=118.089,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
12.090876,X=-65.360 Y=-6.071 Z=175.966,X=-54.361 Y=3.253 Z=120.732,X=-76.549 Y=-7.464 Z=118.190,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
12.177983,X=-66.094 Y=-6.572 Z=176.014,X=-55.761 Y=3.307 Z=121.039,X=-77.527 Y=-8.378 Z=118.269,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
12.283731,X=-66.866 Y=-7.263 Z=176.077,X=-57.177 Y=3.451 Z=121.116,X=-78.285 Y=-9.642 Z=118.110,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
12.369599,X=-67.360 Y=-7.688 Z=176.273,X=-57.937 Y=3.447 Z=121.187,X=-78.615 Y=-10.283 Z=118.201,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
12.482592,X=-67.776 Y=-8.153 Z=176.789,X=-58.425 Y=3.352 Z=121.160,X=-79.118 Y=-10.758 Z=118.310,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
12.589468,X=-67.996 Y=-8.572 Z=177.127,X=-58.475 Y=3.384 Z=121.149,X=-79.467 Y=-10.745 Z=118.361,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000,X=0.000 Y=0.000 Z=0.000
